s	betax	betay
0.	15.287040945054194	9.3741598171181
0.	15.287040945054194	9.3741598171181
0.14573875	15.337485007032539	9.460839661107816
0.34573875	15.411361535839461	9.587784354701979
0.39573875	15.43067147692194	9.62096532020786
0.44573874999999996	15.45031774155672	9.654724202556677
0.89573875	11.553807759291837	13.122320420435264
1.09573875	8.576927816305059	16.56283826535943
1.54573875	6.037572474725935	17.275125307597122
1.59573875	6.082383092012421	16.507893006469534
1.67073875	6.15145673465899	15.390274485635855
1.72073875	6.198744307567929	14.667348758985206
1.79573875	6.271533383648177	13.616190099866937
1.84573875	6.321297912179568	12.937570947693228
2.29573875	5.6727724965607225	9.42064123754141
2.3057387499999997	5.635751257715851	9.388923658029935
2.3307387499999996	5.543883155394356	9.309956738470927
2.4807387499999995	5.013224385185859	8.84596609770735
3.4807387499999995	2.3757781182166804	6.182504990866003
3.5807387499999996	2.1981471223484186	5.957271124941933
3.6207387499999997	2.1314786906614818	5.8692705655782715
3.6207606277462947	2.1314429122411123	5.869222761479648
3.7707606277462946	1.903752690417527	5.549874925762645
3.7957606277462945	1.8692292940670086	5.49828543257489
4.4207606277462945	1.3280522287396797	4.335085399500969
5.0457606277462945	1.3894390275191417	3.470648550026314
5.145760627746294	1.4565040130499818	3.3572152569461773
5.195760627746294	1.4959078897355376	3.303403002059683
5.245760627746294	1.5392260223678504	3.2515270082755716
5.695760627746294	2.3319568825099397	2.536912210829476
5.720760627746294	2.4015954452096113	2.4865956718958815
5.870760627746295	2.852035054151634	2.205731958918077
5.870760627746295	2.852035054151634	2.205731958918077
5.948260627746294	3.106664048431394	2.074747898565173
6.023260627746295	3.367287077024454	1.9571546073249282
6.1082606277462945	3.679554012870619	1.8347806136520102
6.183260627746295	3.9699902828296145	1.7364197984106349
6.275760627746295	4.347441636962937	1.627524091904917
6.300760627746295	4.453104532979782	1.6004467948032897
6.350760627746295	4.669088643976897	1.5492972749748581
6.3757606277462955	4.779409858957169	1.5252250522480542
6.475760627746295	5.2362224487563465	1.438953075923582
6.5007606277462955	5.354307528675664	1.4198893104881503
6.550760627746295	5.595136007477725	1.3847668539921099
6.575760627746296	5.71787940636047	1.3687081629315014
6.675760627746295	6.22438073176954	1.3144903132718115
7.1257606277462955	6.021071011404197	1.8335827022602202
7.225760627746295	5.440666096902333	2.1588700680468818
7.2507606277462955	5.300706166540056	2.2459115633401057
7.300760627746295	5.026955863731333	2.426858138542424
7.325760627746296	4.8931654912848845	2.5207632184515183
7.418260627746296	4.416022548592404	2.888104970193498
7.493260627746296	4.049817911373283	3.208942642231242
7.578260627746296	3.657160919233015	3.5974506040809078
7.653260627746296	3.330441452675194	3.9622152176602214
7.653260627746296	3.330441452675194	3.9622152176602214
7.693260627746296	3.163759061554439	4.165175675364656
7.743260627746296	2.962809542152489	4.427112549034244
7.764860627746296	2.8785437741682607	4.5430999305724455
7.789860627746297	2.782930626104958	4.679476872084545
7.939860627746297	2.2524386431359416	5.545783613468236
7.949860627746297	2.2197048556487604	5.606465858996587
7.974860627746297	2.139309950444501	5.759772975894499
8.024860627746298	1.9846896979518103	6.073250794306196
8.049860627746298	1.9104643506633792	6.233421495819979
8.111760627746298	1.735532185625387	6.639849479872926
8.761760627746298	0.9328562205106834	9.033173054855665
9.411760627746299	1.7355321855738508	6.639849479958485
9.4526606277463	1.8497043370041693	6.369732944577081
9.527660627746299	2.073367508127409	5.890319013579092
9.561760627746299	2.181180408067263	5.679154722947052
9.6117606277463	2.346181970006911	5.377226029584954
9.6458606277463	2.463431200552737	5.176559582471094
9.7208606277463	2.73477271524844	4.750187433382791
9.7617606277463	2.8905431191513853	4.526348626423804
10.4117606277463	4.357315023627882	2.9750420664167194
11.0617606277463	2.8905431191888327	4.52634862667542
11.086760627746301	2.7946749627355434	4.662441873370497
11.236760627746301	2.2626529294246986	5.527046445856834
11.239860627746301	2.252438643104888	5.545783613926848
11.249860627746301	2.219704855619006	5.606465859461327
11.274860627746301	2.1393099504179305	5.759772976374718
11.324860627746302	1.9846896979313349	6.073250794818054
11.349860627746303	1.9104643506458148	6.233421496347997
11.411760627746302	1.735532185614639	6.639849480441937
12.061760627746303	0.9328562205457084	9.033173055692577
12.711760627746303	1.7355321856399433	6.639849480604145
12.752660627746303	1.849704337072543	6.3697329451981135
12.827660627746303	2.0733675081998078	5.890319014156073
12.861760627746303	2.1811804081414228	5.679154723504478
12.911760627746304	2.3461819700835767	5.377226030114245
12.945860627746304	2.4634312006310597	5.176559582981561
13.020860627746304	2.7347727153302572	4.750187433852901
13.061760627746304	2.890543119235021	4.52634862687251
13.711760627746305	4.357315023696382	2.975042066699886
14.361760627746305	2.890543119190769	4.5263486270265165
14.386760627746305	2.794674962735213	4.662441873728968
14.536760627746306	2.26265292941236	5.527046446260418
14.539860627746306	2.25243864309233	5.545783614331381
14.549860627746305	2.2197048556057486	5.606465859868923
14.574860627746306	2.139309950402977	5.759772976790002
14.624860627746306	1.9846896979132171	6.073250795248836
14.649860627746307	1.9104643506262289	6.233421496786592
14.711760627746306	1.7355321855917443	6.639849480900055
15.361760627746307	0.9328562205043195	9.033173056204832
16.011760627746305	1.735532185597437	6.639849480889499
16.052660627746306	1.8497043370304553	6.369732945464648
16.127660627746305	2.0733675081588943	5.890319014389452
16.161760627746304	2.181180408101217	5.6791547237233635
16.211760627746305	2.3461819700446065	5.377226030312534
16.245860627746303	2.463431200593066	5.1765595831662505
16.320860627746303	2.734772715294795	4.750187434008956
16.361760627746303	2.890543119201161	4.5263486270136895
17.011760627746302	4.357315023711793	2.9750420666814565
17.6617606277463	2.890543119243882	4.526348626833284
17.6867606277463	2.7946749627885654	4.662441873525377
17.836760627746298	2.2626529294661704	5.5270464459903055
17.839860627746297	2.2524386431461325	5.545783614059814
17.8498606277463	2.2197048556595194	5.606465859592644
17.874860627746298	2.1393099504566364	5.759772976501798
17.9248606277463	1.9846896979665143	6.07325079493616
17.949860627746297	1.9104643506792751	6.233421496461368
18.0117606277463	1.7355321856439687	6.639849480542865
18.661760627746297	0.9328562205442761	9.033173055604772
19.311760627746295	1.735532185608351	6.639849480375777
19.352660627746296	1.84970433703833	6.369732944966852
19.427660627746295	2.073367508160617	5.890319013920379
