s	betax	betay
 2.838190000000000e+01  2.088226382213983e+00  5.983351924177304e+00 
 2.841600000000000e+01  2.194298444171434e+00  5.771723369590013e+00 
 2.846600000000000e+01  2.356544968943382e+00  5.469022594660798e+00 
 2.850010000000000e+01  2.471777166774868e+00  5.267767292244639e+00 
 2.857510000000000e+01  2.738288369998494e+00  4.839922263443994e+00 
 2.861600000000000e+01  2.891196377763789e+00  4.615177275242051e+00 
 2.991600000000000e+01  2.891194797808694e+00  4.615174551102538e+00 
 2.994100000000000e+01  2.797095390469720e+00  4.751830175705718e+00 
 3.009100000000000e+01  2.274421841148485e+00  5.619238735077217e+00 
 3.009410000000000e+01  2.264377903036210e+00  5.638023541319687e+00 
 3.010410000000000e+01  2.232187317881932e+00  5.698856612406646e+00 
 3.012910000000000e+01  2.153108284819989e+00  5.852521783849121e+00 
 3.017910000000000e+01  2.000939203655049e+00  6.166634242698706e+00 
 3.020410000000000e+01  1.927849155552050e+00  6.327081530105813e+00 
 3.026600000000000e+01  1.755468972151028e+00  6.734077479807548e+00 
 3.156600000000000e+01  1.755459188317301e+00  6.734076245753023e+00 
 3.160690000000000e+01  1.867985640483421e+00  6.463603048009136e+00 
 3.168190000000000e+01  2.088212398042253e+00  5.983346253863302e+00 
 3.171600000000000e+01  2.194283706509641e+00  5.771717921036292e+00 
 3.176600000000000e+01  2.356529103998498e+00  5.469017464023481e+00 
 3.180010000000000e+01  2.471760517705911e+00  5.267762373485016e+00 
 3.187510000000000e+01  2.738269952613649e+00  4.839917796592417e+00 
 3.191600000000000e+01  2.891176970739298e+00  4.615173046663346e+00 
 3.321599999999999e+01  2.891180861081988e+00  4.615172672403144e+00 
 3.324099999999999e+01  2.797082140787432e+00  4.751828287685584e+00 
 3.339099999999999e+01  2.274412436696732e+00  5.619236804513956e+00 
 3.339409999999999e+01  2.264368573043639e+00  5.638021610119141e+00 
 3.340409999999999e+01  2.232178226697727e+00  5.698854679217118e+00 
 3.342909999999999e+01  2.153099781422171e+00  5.852519846133186e+00 
 3.347909999999999e+01  2.000931836253433e+00  6.166632297841569e+00 
 3.350409999999999e+01  1.927842336360252e+00  6.327079582633885e+00 
 3.356599999999999e+01  1.755463453556947e+00  6.734075528603469e+00 
 3.486599999999999e+01  1.755470876307141e+00  6.734076388048286e+00 
 3.490689999999999e+01  1.867997978948887e+00  6.463603264493361e+00 
 3.498189999999999e+01  2.088225942238509e+00  5.983346598060900e+00 
 3.501599999999999e+01  2.194297804444167e+00  5.771718319735760e+00 
 3.506599999999999e+01  2.356544020119450e+00  5.469017938608096e+00 
 3.510009999999999e+01  2.471775996094878e+00  5.267762897075101e+00 
 3.517509999999999e+01  2.738286679831103e+00  4.839918420124567e+00 
 3.521599999999999e+01  2.891194386034121e+00  4.615173720154632e+00 
 3.651599999999999e+01  2.891188742858092e+00  4.615176252264066e+00 
 3.654099999999999e+01  2.797089461952431e+00  4.751832005149288e+00 
 3.669099999999999e+01  2.274416671705011e+00  5.619241394929723e+00 
 3.669409999999999e+01  2.264372749288830e+00  5.638026219431760e+00 
 3.670409999999999e+01  2.232182214769480e+00  5.698859349723546e+00 
 3.672909999999999e+01  2.153103308310655e+00  5.852524671201983e+00 
 3.677909999999999e+01  2.000934480419655e+00  6.166637438797300e+00 
 3.680409999999998e+01  1.927844558987480e+00  6.327084884914179e+00 
 3.686599999999999e+01  1.755464689320532e+00  6.734081240023278e+00 
 3.816599999999998e+01  1.755460691463991e+00  6.734082915052452e+00 
 3.820689999999998e+01  1.867987440974529e+00  6.463609547724957e+00 
 3.828189999999999e+01  2.088214779138297e+00  5.983352444980096e+00 
 3.831599999999999e+01  2.194286366717871e+00  5.771723972859172e+00 
 3.836599999999999e+01  2.356532190563839e+00  5.469023312751199e+00 
 3.840009999999999e+01  2.471763906710166e+00  5.267768084484846e+00 
 3.847509999999999e+01  2.738274040084302e+00  4.839923206905786e+00 
 3.851599999999999e+01  2.891181458385768e+00  4.615178294296636e+00 
 3.981599999999999e+01  2.891188045629166e+00  4.615179967763092e+00 
 3.984099999999999e+01  2.797089118555906e+00  4.751835800572004e+00 
 3.999099999999999e+01  2.274418213091074e+00  5.619245680800685e+00 
 3.999409999999999e+01  2.264374325320107e+00  5.638030515635839e+00 
 4.000409999999999e+01  2.232183901370718e+00  5.698863679314687e+00 
 4.006599999999999e+01  2.040033039842411e+00  6.083470188799091e+00 
 4.010409999999999e+01  1.927847251466237e+00  6.327089552946128e+00 
 4.016599999999999e+01  1.755467913494011e+00  6.734086121713776e+00 
 4.146599999999999e+01  1.755467913494027e+00  6.734086121713789e+00 
 4.150689999999999e+01  1.867994668181467e+00  6.463612555119465e+00 
 4.158189999999999e+01  2.088221961274669e+00  5.983355100792631e+00 
 4.161599999999999e+01  2.194293505009411e+00  5.771726474734683e+00 
 4.166599999999999e+01  2.356539238171578e+00  5.469025595598872e+00 
 4.170009999999999e+01  2.471770874470031e+00  5.267770222515574e+00 
 4.177509999999999e+01  2.738280780863330e+00  4.839925039434974e+00 
 4.181600000000000e+01  2.891188045629195e+00  4.615179967763110e+00 
 4.311599999999999e+01  2.891181458385796e+00  4.615178294296707e+00 
 4.314099999999999e+01  2.797082434969221e+00  4.751834030511078e+00 
 4.329099999999999e+01  2.274411116218292e+00  5.619243289432994e+00 
 4.329409999999999e+01  2.264367222885251e+00  5.638028110673141e+00 
 4.330409999999999e+01  2.232176781815991e+00  5.698861230288832e+00 
 4.332909999999999e+01  2.153098106534457e+00  5.852526524049247e+00 
 4.337909999999999e+01  2.000929730506893e+00  6.166639231803748e+00 
 4.340409999999999e+01  1.927840029760863e+00  6.327086645797833e+00 
 4.346599999999999e+01  1.755460691464004e+00  6.734082915052557e+00 
 4.476599999999998e+01  1.755464689320514e+00  6.734081240023384e+00 
 4.480689999999998e+01  1.867991787527297e+00  6.463607814959323e+00 
 4.488189999999999e+01  2.088219789428085e+00  5.983350616550828e+00 
 4.491599999999999e+01  2.194291689194842e+00  5.771722105304738e+00 
 4.496599999999999e+01  2.356537982557349e+00  5.469021392767702e+00 
 4.500009999999999e+01  2.471770026937052e+00  5.267766132113278e+00 
 4.507509999999999e+01  2.738280905123784e+00  4.839921192910668e+00 
 4.511599999999999e+01  2.891188742858062e+00  4.615176252264140e+00 
 4.641599999999999e+01  2.891194386034103e+00  4.615173720154704e+00 
 4.644099999999999e+01  2.797095187664073e+00  4.751829326883457e+00 
 4.659099999999999e+01  2.274422751471613e+00  5.619237776569314e+00 
 4.659409999999999e+01  2.264378833820363e+00  5.638022580500849e+00 
 4.660409999999999e+01  2.232188313967307e+00  5.698855644121001e+00 
 4.662909999999999e+01  2.153109439468923e+00  5.852520796815162e+00 
 4.667909999999998e+01  2.000940655333257e+00  6.166633217819676e+00 
 4.670409999999998e+01  1.927850745695976e+00  6.327080486130028e+00 
 4.676599999999998e+01  1.755470876307136e+00  6.734076388048384e+00 
 4.806599999999998e+01  1.755463453556965e+00  6.734075528603527e+00 
 4.810689999999998e+01  1.867989908780499e+00  6.463602375424404e+00 
 4.818189999999998e+01  2.088216639721224e+00  5.983345659907652e+00 
 4.821599999999999e+01  2.194287922294408e+00  5.771717361507683e+00 
 4.826599999999998e+01  2.356533266226558e+00  5.469016953479061e+00 
 4.830009999999999e+01  2.471764632776825e+00  5.267761895327989e+00 
 4.837509999999999e+01  2.738273933632550e+00  4.839917386758875e+00 
 4.841599999999999e+01  2.891180861082013e+00  4.615172672403172e+00 
 4.971599999999999e+01  2.891176970739308e+00  4.615173046663318e+00 
 4.974099999999999e+01  2.797078193545608e+00  4.751828683548516e+00 
 4.989099999999998e+01  2.274408245373361e+00  5.619237339328214e+00 
 4.989409999999999e+01  2.264364378435378e+00  5.638022147973836e+00 
 4.990409999999999e+01  2.232174021978687e+00  5.698855226926261e+00 
 4.992909999999998e+01  2.153095554669959e+00  5.852520418789605e+00 
 4.997909999999998e+01  2.000927579336781e+00  6.166632921726080e+00 
 5.000409999999998e+01  1.927838071312331e+00  6.327080232799212e+00 
 5.006599999999998e+01  1.755459188317302e+00  6.734076245752966e+00 
 5.136599999999998e+01  1.755468972151014e+00  6.734077479807454e+00 
 5.140689999999998e+01  1.867996277670941e+00  6.463604324600182e+00 
 5.148189999999998e+01  2.088224659573366e+00  5.983347600933203e+00 
 5.151599999999998e+01  2.194296732047031e+00  5.771719296931118e+00 
 5.156599999999998e+01  2.356543278569555e+00  5.469018878544690e+00 
 5.160009999999998e+01  2.471775495552611e+00  5.267763811867688e+00 
 5.167509999999999e+01  2.738286753217756e+00  4.839919280375384e+00 
 5.171599999999999e+01  2.891194797808677e+00  4.615174551102463e+00 
 5.301599999999998e+01  2.891196377763793e+00  4.615177275241967e+00 
 5.304099999999998e+01  2.797096993532833e+00  4.751833057085828e+00 
 5.319099999999998e+01  2.274423543338568e+00  5.619242627846784e+00 
 5.319409999999998e+01  2.264379606560360e+00  5.638027456219781e+00 
 5.320409999999998e+01  2.232189025512295e+00  5.698860599034615e+00 
 5.322909999999998e+01  2.153110001398516e+00  5.852525952061626e+00 
 5.327909999999998e+01  2.000940932484029e+00  6.166638783786762e+00 
 5.330409999999998e+01  1.927850887683321e+00  6.327086262484885e+00 
 5.336599999999998e+01  1.755470704360162e+00  6.734082699746437e+00 
 5.466599999999998e+01  1.755459961637656e+00  6.734084192375342e+00 
 5.470689999999998e+01  1.867986331410413e+00  6.463610764242501e+00 
 5.478189999999998e+01  2.088212918961232e+00  5.983353553501960e+00 
 5.481599999999998e+01  2.194284142034082e+00  5.771725033779348e+00 
 5.486599999999998e+01  2.356529405158481e+00  5.469024305569995e+00 
 5.490009999999998e+01  2.471760720987310e+00  5.267769032015050e+00 
 5.497509999999998e+01  2.738269922809689e+00  4.839924058127535e+00 
 5.501599999999998e+01  2.891176803508449e+00  4.615179094909874e+00 
 5.631599999999998e+01  2.891177760376169e+00  4.615180118385172e+00 
 5.634099999999998e+01  2.797079082044327e+00  4.751835944449785e+00 
 5.649099999999998e+01  2.274409645972788e+00  5.619245778586881e+00 
 5.649409999999998e+01  2.264365788152435e+00  5.638030612367759e+00 
 5.650409999999998e+01  2.232175460702874e+00  5.698863772617643e+00 
 5.660409999999998e+01  1.927839766135447e+00  6.327089609601954e+00 
 5.666599999999998e+01  1.755461010714939e+00  6.734086153537236e+00 
 5.796599999999998e+01  1.755471172705925e+00  6.734085685339373e+00 
 5.800689999999998e+01  1.867998429567669e+00  6.463612119198634e+00 
 5.808189999999998e+01  2.088226697697984e+00  5.983354666694546e+00 
 5.811599999999999e+01  2.194298707937968e+00  5.771726041889476e+00 
 5.816599999999998e+01  2.356545151334810e+00  5.469025165070123e+00 
 5.820009999999998e+01  2.471777289888119e+00  5.267769793893595e+00 
 5.827509999999999e+01  2.738288351948330e+00  4.839924615939622e+00 
 5.831599999999999e+01  2.891196276483820e+00  4.615179547603900e+00 
 5.961599999999999e+01  2.891192919929171e+00  4.615177348601860e+00 
 5.964099999999998e+01  2.797093538004062e+00  4.751833052397145e+00 
 5.979099999999998e+01  2.274420151003191e+00  5.619242106689295e+00 
 5.979409999999999e+01  2.264376216423396e+00  5.638026923517540e+00 
 5.980409999999998e+01  2.232185642713309e+00  5.698860028850807e+00 
 5.982909999999998e+01  2.153106638589750e+00  5.852525286567989e+00 
 5.987909999999998e+01  2.000937616706887e+00  6.166637920790987e+00 
 5.990409999999998e+01  1.927847598947583e+00  6.327085297296804e+00 
 5.996599999999998e+01  1.755467492693365e+00  6.734081471657777e+00 
 6.126599999999998e+01  1.755459367825208e+00  6.734079738800075e+00 
 6.130689999999998e+01  1.867985913391539e+00  6.463606374774088e+00 
 6.138189999999998e+01  2.088212855570947e+00  5.983349285296511e+00 
 6.141599999999998e+01  2.194284253692318e+00  5.771720822294951e+00 
 6.146599999999998e+01  2.356529789096113e+00  5.469020179047852e+00 
 6.150009999999998e+01  2.471761301265519e+00  5.267764964660368e+00 
 6.157509999999998e+01  2.738270965297497e+00  4.839920124396647e+00 
 6.161599999999999e+01  2.891178115651776e+00  4.615175236070378e+00 
 6.291599999999998e+01  2.891183390840277e+00  4.615173084303724e+00 
 6.294099999999998e+01  2.797084609365344e+00  4.751828681142785e+00 
 6.309099999999998e+01  2.274414543863032e+00  5.619237071926234e+00 
 6.309409999999998e+01  2.264370672843293e+00  5.638021874648330e+00 
 6.310409999999998e+01  2.232180302762308e+00  5.698854934369244e+00 
 6.312909999999998e+01  2.153101798338088e+00  5.852520077329833e+00 
 6.317909999999998e+01  2.000933735682117e+00  6.166632478929451e+00 
 6.320409999999998e+01  1.927844177450367e+00  6.327079737568480e+00 
 6.326599999999998e+01  1.755465151362785e+00  6.734075615629931e+00 
 6.456599999999997e+01  1.755470074672188e+00  6.734075194711565e+00 
 6.460689999999997e+01  1.867997053799265e+00  6.463602072397036e+00 
 6.468189999999997e+01  2.088224777269001e+00  5.983345410949171e+00 
 6.471599999999997e+01  2.194296524733145e+00  5.771717136050229e+00 
 6.476599999999996e+01  2.356542565719282e+00  5.469016761257292e+00 
 6.480009999999996e+01  2.471774418160229e+00  5.267761724938668e+00 
 6.487509999999996e+01  2.738284817648907e+00  4.839917262007726e+00 
 6.491599999999995e+01  2.891192361575150e+00  4.615172571161012e+00 
 6.621599999999995e+01  2.891185923779712e+00  4.615173666107809e+00 
 6.624099999999996e+01  2.797086731052721e+00  4.751829330337769e+00 
 6.639099999999996e+01  2.274414449511546e+00  5.619238160524850e+00 
 6.639409999999997e+01  2.264370537240407e+00  5.638022972961822e+00 
 6.640409999999997e+01  2.232180035345361e+00  5.698856064196000e+00 
 6.642909999999998e+01  2.153101209768440e+00  5.852521287108355e+00 
 6.647909999999997e+01  2.000932540731850e+00  6.166633853619827e+00 
 6.650409999999998e+01  1.927842697272181e+00  6.327081197218944e+00 
 6.656599999999997e+01  1.755463016491836e+00  6.734077292825653e+00 
 6.786599999999997e+01  1.755462000337661e+00  6.734078809713312e+00 
 6.790689999999996e+01  1.867988885775508e+00  6.463605609304354e+00 
 6.798189999999997e+01  2.088216484588085e+00  5.983348804448795e+00 
 6.801599999999996e+01  2.194288195552235e+00  5.771720464260380e+00 
 6.806599999999996e+01  2.356534205825541e+00  5.469019993636997e+00 
 6.810009999999996e+01  2.471766052874180e+00  5.267764891895118e+00 
 6.817509999999996e+01  2.738276484881520e+00  4.839920284880528e+00 
 6.821599999999995e+01  2.891184072250802e+00  4.615175515349632e+00 
 6.951599999999995e+01  2.891190750004328e+00  4.615178228925248e+00 
 6.954099999999995e+01  2.797091720391653e+00  4.751834034689192e+00 
 6.969099999999996e+01  2.274420231832458e+00  5.619243753839668e+00 
 6.969409999999996e+01  2.264376332592016e+00  5.638028585367416e+00 
 6.970409999999997e+01  2.232185871804725e+00  5.698861738383163e+00 
 6.972909999999997e+01  2.153107142807059e+00  5.852527117074760e+00 
 6.977909999999997e+01  2.000938640399851e+00  6.166640000824642e+00 
 6.980409999999998e+01  1.927848866990308e+00  6.327087505882926e+00 
 6.986599999999997e+01  1.755469321599913e+00  6.734084009409990e+00 
 7.116599999999997e+01  1.755466284966162e+00  6.734085208631966e+00 
 7.119099999999997e+01  1.823613012648245e+00  6.568040214213136e+00 
 7.134099999999998e+01  2.274416012076606e+00  5.619245110192073e+00 
 7.134409999999998e+01  2.284490584579366e+00  5.600495041641819e+00 
 7.144409999999998e+01  2.625942407667414e+00  5.014300438086553e+00 
 7.149699999999997e+01  2.819488039098141e+00  4.718831917664035e+00 
 7.154699999999997e+01  3.010640254656099e+00  4.448866177458654e+00 
 7.162449999999997e+01  3.322707065748079e+00  4.048290174806911e+00 
 7.162449999999997e+01  3.322707065748079e+00  4.048290174806911e+00 
 7.169949999999997e+01  3.642973495753710e+00  3.681321454492370e+00 
 7.178449999999997e+01  4.027662033126485e+00  3.290020071655511e+00 
 7.185949999999997e+01  4.386257727896339e+00  2.966456939905007e+00 
 7.195199999999997e+01  4.853270086693355e+00  2.595417216488303e+00 
 7.197699999999998e+01  4.984180985426852e+00  2.500448873343083e+00 
 7.202699999999997e+01  5.251991730513255e+00  2.317294310265774e+00 
 7.205199999999998e+01  5.388891576866160e+00  2.229108090333685e+00 
 7.215199999999997e+01  5.956454121009152e+00  1.898970287982432e+00 
 7.260199999999998e+01  6.124043345854939e+00  1.376547465331866e+00 
 7.270199999999997e+01  5.617373170544729e+00  1.433799715640324e+00 
 7.272699999999998e+01  5.494656311819260e+00  1.450522248592725e+00 
 7.277699999999997e+01  5.253963416490825e+00  1.486858678947873e+00 
 7.280199999999998e+01  5.135987379887857e+00  1.506472576350619e+00 
